流水號,縣市,攝影機編號,WGSX,WGSY
1,臺北市,001-市民快承德,121.5169,25.04855
2,臺北市,002-環快忠孝橋,121.50604,25.04925
3,臺北市,003-環快中興橋,121.50068,25.0442
4,臺北市,004-環快華江橋,121.49042,25.03527
5,臺北市,005-環快光復橋,121.4913,25.02484
6,臺北市,006-環快華中橋,121.49531,25.01672
7,臺北市,008-水源快師大,121.52228,25.02049
8,臺北市,009-辛亥快汀州,121.52688,25.01883
9,臺北市,010-辛亥快泰順,121.5295,25.01993
10,臺北市,011-辛亥快新生南,121.53452,25.02264
11,臺北市,012-建國快辛亥,121.53637,25.02242
12,臺北市,013-建國快和平,121.53751,25.02576
13,臺北市,014-建國快信義,121.53765,25.03347
14,臺北市,015-建國快仁愛,121.53798,25.03807
15,臺北市,016-建國快忠孝,121.53701,25.0416
16,臺北市,017-建國快長安,121.53684,25.04848
17,臺北市,018-建國快南京,121.53661,25.05187
18,臺北市,019-建國快民生,121.53703,25.05801
19,臺北市,020-建國快民權,121.53692,25.06228
20,臺北市,021-民族松江,121.53295,25.06831
21,臺北市,022-建國快圓山匝道,121.5336,25.07116
22,臺北市,023-水源快永福橋,121.52814,25.01201
23,臺北市,024-水源快福和橋,121.53241,25.00863
24,臺北市,025-基隆快羅斯,121.53717,25.01134
25,臺北市,026-基隆快辛亥,121.5468,25.019
26,臺北市,027-市民快環河,121.50691,25.05081
27,臺北市,028-市民快中山,121.52089,25.04812
28,臺北市,029-市民快敦化,121.54896,25.04494
29,臺北市,030-市民快松江,121.53274,25.04531
30,臺北市,031-市民快永吉,121.56501,25.04468
31,臺北市,032-市民快重慶匝道,121.51298,25.04949
32,臺北市,033-市民快新生匝道,121.5302,25.04608
33,臺北市,034-市民快建國北匝道,121.53684,25.04472
34,臺北市,035-市民快光復匝道,121.55694,25.0449
35,臺北市,036-市民快正氣橋上層,121.56735,25.04581
36,臺北市,037-市民快麥帥一橋,121.57072,25.05122
37,臺北市,038-基隆永吉,121.56691,25.04553
38,臺北市,039-環河民生,121.50836,25.05676
39,臺北市,040-民權西台北橋,121.50877,25.06341
40,臺北市,041-環河北敦煌,121.50856,25.07613
41,臺北市,042-承德中正,121.516,25.091
42,臺北市,043-重慶北交流道,121.51304,25.08125
43,臺北市,044-圓山中山橋,121.52531,25.07628
44,臺北市,045-大直橋,121.54469,25.07703
45,臺北市,046-民權撫遠,121.56593,25.06331
46,臺北市,047-麥帥二橋松山抽水站,121.57016,25.05473
47,臺北市,048-中正重陽橋,121.5058,25.08569
48,臺北市,049-環東快堤頂匝道,121.5778,25.05489
49,臺北市,050-環東快舊宗匝道,121.58426,25.0585
50,臺北市,051-環東快成功路,121.59103,25.0611
51,臺北市,052-環東快出城往東,121.6003,25.05835
52,臺北市,053-環東麥帥二橋往堤頂,121.57363,25.05831
53,臺北市,054-環東快成功橋,121.59171,25.06018
54,臺北市,055-環東快進城基河三期國宅,121.60127,25.05843
55,臺北市,056-環東快進城南湖大橋,121.61118,25.06134
56,臺北市,057-環東快經貿一路匝道,121.6162,25.0629
57,臺北市,058-三重南港,121.61406,25.05497
58,臺北市,059-經貿二南港,121.61664,25.0551
59,臺北市,060-環東匝道,121.61936,25.0594
60,臺北市,061-南湖大橋三重路,121.61449,25.0606
61,臺北市,063-洲美快道福國匝道,121.49914,25.10125
62,臺北市,064-洲美快13號道路匝道前,121.49911,25.10614
63,臺北市,065-洲美快焚化爐前,121.49866,25.10812
64,臺北市,066-洲美快13號道路,121.49866,25.11204
65,臺北市,067-洲美快大業路匝道,121.49969,25.11696
66,臺北市,068-大業大度,121.49967,25.12114
67,臺北市,069-環河北中正,121.50554,25.08572
68,臺北市,070-延平社中,121.50104,25.0905
69,臺北市,071-延平北通河西,121.49755,25.09383
70,臺北市,072-延平北通河西(堤防),121.49735,25.09438
71,臺北市,073-信義快萬芳交流道,121.58038,25.00424
72,臺北市,074-信義松德,121.57414,25.03312
73,臺北市,075-信義松仁,121.56818,25.03261
74,臺北市,076-新生高圓山,121.52565,25.07435
75,臺北市,077-環河快詔安街,121.51461,25.024
76,臺北市,078-環河快泉州街,121.51218,25.02408
77,臺北市,079-復興辛亥,121.5433,25.02157
78,臺北市,080-環河快貴陽匝道,121.29441,25.21892
79,臺北市,081-環河快萬板大橋,121.29173,25.14905
80,臺北市,082-環河快華翠大橋,121.29214,25.13923
81,臺北市,083-環河快青年路口,121.30149,25.11113
82,臺北市,084-水源快溪州街口,121.5342,25.00594
