kind,number,station_name,lng,lat
water,1,水情CCTV1-淡水1號(外),121.4957176,25.0390704
water,2,水情CCTV2-淡水2號(外),121.4995,25.041526
water,3,水情CCTV3-淡水3號(外),121.5068,25.05072
water,4,水情CCTV4-淡水4號(外),121.5074649,25.05373
water,5,水情CCTV5-淡水5號(外),121.5078739,25.0569895
water,6,水情CCTV6-淡水5-1號(外),121.5089583,25.0688462
water,7,水情CCTV7-淡水6號(外),121.5083705,25.0764265
water,8,水情CCTV8-新店1號(外),121.5045213,25.0196522
water,9,水情CCTV9-新店1-1號(外),121.5005873,25.0172529
water,10,水情CCTV10-新店2號(外),121.4994435,25.0165065
water,11,水情CCTV11-新店3號(外),121.4957526,25.0161009
water,12,水情CCTV12-新店3-1號(外),121.4952323,25.0161911
water,13,水情CCTV13-新店4號(外),121.488628,25.032443
water,14,水情CCTV14-景美1號(外),121.5368891,24.9893738
water,15,水情CCTV15-景美2號(外),121.5351639,24.998434
water,16,水情CCTV16-景美3號(外),121.571835,24.994745
water,17,水情CCTV17-基隆河1號(外),121.62162,25.059278
water,18,水情CCTV18-基隆河2號(外),121.5938538,25.0590937
water,19,水情CCTV19-基隆河3號(外),121.58904,25.055401
water,20,水情CCTV20-基隆河4號(外),121.576681,25.051607
water,21,水情CCTV21-基隆河5號(外),121.569505,25.058972
water,22,水情CCTV22-基隆河6號(外),121.5682601,25.065345
water,23,水情CCTV23-基隆河7號(外),121.5526533,25.0736664
water,24,水情CCTV24-基隆河8號(外),121.5399702,25.0735901
water,25,水情CCTV25-基隆河9號(外),121.5378475,25.0735781
water,26,水情CCTV26-基隆河10號(外),121.5294877,25.0731407
water,27,水情CCTV27-基隆河10-1號(外),121.5218756,25.0746904
water,28,水情CCTV28-世新大學,121.5451,24.986839
water,29,水情CCTV29-基隆河11號(外),121.6116974,25.0643334
water,30,水情CCTV30-基隆河11-1號(外),121.613859,25.065329
water,31,水情CCTV31-內溝溪1號(外),121.617816,25.06649
water,32,水情CCTV32-內溝溪2號(外),121.61789,25.065743
water,33,水情CCTV33-基隆河12號(外),121.5949276,25.0609174
water,34,水情CCTV34-基隆河13號(外),121.588207,25.057244
water,35,水情CCTV35-基隆河16號(外),121.5565639,25.0768277
water,36,水情CCTV36-民權橋,121.617863,25.045547
water,37,水情CCTV37-胡適橋,121.614134,25.041173
water,38,水情CCTV38-東華抽水站,121.522757,25.10983
water,39,水情CCTV39-福德抽水站,121.5288334,25.0996577
water,40,水情CCTV40-貴子坑溪,121.4926426,25.1455966
water,41,水情CCTV41-埤腹抽水站,121.5450682,24.9865125
water,42,水情CCTV42-下八仙抽水站,121.490682,25.115782
